launched_at,task_family,target_family,comparison_group,config_path,launch_script,wandb_entity,wandb_project,sweep_path,sweep_id,num_agents,runs_per_agent,gpu_list,notes
"2026-04-21T01:14:25-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/bassetvl/promoter__deboer_core__bassetvl__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__bassetvl","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__bassetvl/orw195cw","orw195cw","1","16","1","promoter_arch_screen_v1"
"2026-04-21T01:14:25-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/utr_bassetvl/promoter__deboer_core__utr_bassetvl__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__utr_bassetvl/ktzra2ju","ktzra2ju","1","16","0","promoter_arch_screen_v1"
"2026-04-21T01:14:25-05:00","utr3","hani_rna_activity","utr3__hani_rna_activity__baseline_architecture","configs/utr3/hani_rna_activity/utr_bassetvl/utr3__hani_rna_activity__utr_bassetvl__bayes.yml","launch/utr3_hani_utr_bassetvl_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__scratch__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__scratch__utr_bassetvl/p0gplq2k","p0gplq2k","1","16","3","utr3_baseline_hpo_v1"
"2026-04-21T01:14:25-05:00","promoter","deboer_core","promoter__deboer_core__architecture_comparison","configs/promoter/deboer_core/resnet1d/promoter__deboer_core__resnet1d__bayes.yml","launch/promoter_deboer_compare_architectures.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__scratch__resnet1d","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__scratch__resnet1d/dujehdgh","dujehdgh","1","16","2","promoter_arch_screen_v1"
"2026-04-26T00:42:24-05:00","utr5","hani_rna_activity","utr5__hani_rna_activity__focused_utr_bassetvl_stage2","configs/utr5/hani_rna_activity/utr_bassetvl/utr5__hani_rna_activity__utr_bassetvl__focused_bayes.yml","launch/run_public_datasets_focused_hpo_batch.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__focused__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__focused__utr_bassetvl/dujom6rd","dujom6rd","3","4","1 2 3","utr5_hani_focused_stage2_v1"
"2026-04-27T02:28:45-05:00","promoter","deboer_core","promoter__deboer_core__focused_utr_bassetvl_stage2","configs/promoter/deboer_core/utr_bassetvl/promoter__deboer_core__utr_bassetvl__focused_bayes.yml","launch/run_public_datasets_focused_hpo_batch.sh","minhangxu1998-baylor-college-of-medicine","promoter__deboer_core__focused__utr_bassetvl","minhangxu1998-baylor-college-of-medicine/promoter__deboer_core__focused__utr_bassetvl/xxy2ffrw","xxy2ffrw","3","4","1 2 3","promoter_utr_bassetvl_focused_stage2_v1"
"2026-04-27T17:24:30-05:00","enhancer","bashor_in_house_fastqs1_5_filtered","enhancer__bashor_in_house__fastqs1_5_filtered__scratch_basic__bassetvl_vs_resnet1d","configs/enhancer/bashor_in_house/lib1_enhancer_fastqs1_5__scratch_basic__bayes.yml","launch/lib1_enhancer_fastqs1_5_scratch_compare_loss_modes.sh","minhangxu1998-baylor-college-of-medicine","enhancer__bashor_in_house__fastqs1_5_filtered__scratch_basic__bassetvl_vs_resnet1d","minhangxu1998-baylor-college-of-medicine/enhancer__bashor_in_house__fastqs1_5_filtered__scratch_basic__bassetvl_vs_resnet1d/ixjkw7js","ixjkw7js","2","6","1 2",""
"2026-05-04T01:52:26-05:00","utr3","hani_rna_activity","utr3__hani_rna_activity__observed_head_branched","configs/utr3/hani_rna_activity/basset_branched/utr3__hani_rna_activity__basset_branched__bayes.yml","launch/utr3_hani_basset_branched_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__scratch__basset_branched","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__scratch__basset_branched/54r4667a","54r4667a","4","8","3 4 6 7",""
"2026-05-04T03:20:54-05:00","utr5","hani_rna_activity","utr5__hani_rna_activity__observed_head_branched","configs/utr5/hani_rna_activity/basset_branched/utr5__hani_rna_activity__basset_branched__bayes.yml","launch/utr5_hani_basset_branched_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__scratch__basset_branched","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__scratch__basset_branched/5wraz7oh","5wraz7oh","4","8","3 4 6 7",""
"2026-05-04T21:20:00-05:00","utr3","hani_rna_activity","utr3__hani_rna_activity__observed_head_branched_focused_stage2","configs/utr3/hani_rna_activity/basset_branched/utr3__hani_rna_activity__basset_branched__focused_bayes.yml","launch/utr3_hani_basset_branched_focused_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__focused__basset_branched","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__focused__basset_branched/d7i45wmz","d7i45wmz","4","16","3 4 6 7",""
"2026-05-04T22:18:27-05:00","enhancer","bashor_in_house_fastqs1_5_filtered","enhancer__bashor_in_house__fastqs1_5_filtered__scratch_no_flank__bassetvl_vs_resnet1d","configs/enhancer/bashor_in_house/lib1_enhancer_fastqs1_5__scratch_no_flank_basic__bayes.yml","launch/lib1_enhancer_fastqs1_5_scratch_no_flank_sweep.sh","minhangxu1998-baylor-college-of-medicine","enhancer__bashor_in_house__fastqs1_5_filtered__scratch_no_flank__bassetvl_vs_resnet1d","minhangxu1998-baylor-college-of-medicine/enhancer__bashor_in_house__fastqs1_5_filtered__scratch_no_flank__bassetvl_vs_resnet1d/k5x15hbp","k5x15hbp","3","8","0 1 4",""
"2026-05-05T00:02:50-05:00","utr5","hani_rna_activity","utr5__hani_rna_activity__observed_head_branched_focused_stage2","configs/utr5/hani_rna_activity/basset_branched/utr5__hani_rna_activity__basset_branched__focused_bayes.yml","launch/utr5_hani_basset_branched_focused_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__focused__basset_branched","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__focused__basset_branched/kl5k0o0u","kl5k0o0u","4","16","3 4 6 7",""
"2026-05-07T00:12:41-05:00","utr3","hani_rna_activity","utr3__hani_rna_activity__observed_head_resnet1d_challenger","configs/utr3/hani_rna_activity/resnet1d/utr3__hani_rna_activity__resnet1d__bayes.yml","launch/utr3_hani_resnet1d_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__resnet1d_challenger","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__resnet1d_challenger/i25qb8e3","i25qb8e3","4","16","0 4 5 7",""
"2026-05-08T14:20:49-05:00","utr5","hani_rna_activity","utr5__hani_rna_activity__observed_head_resnet1d_challenger","configs/utr5/hani_rna_activity/resnet1d/utr5__hani_rna_activity__resnet1d__bayes.yml","launch/utr5_hani_resnet1d_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__resnet1d_challenger","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__resnet1d_challenger/9fpbes2j","9fpbes2j","4","16","0 4 5 7",""
"2026-05-08T19:11:28-05:00","utr3","hani_rna_activity_delta_aux","utr3__hani_rna_activity__observed_head_branched_delta_aux","configs/utr3/hani_rna_activity/basset_branched/utr3__hani_rna_activity__basset_branched__delta_aux_bayes.yml","launch/utr3_hani_basset_branched_delta_aux_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__delta_aux__basset_branched","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__delta_aux__basset_branched/sbzh29cp","sbzh29cp","4","16","0 4 5 7",""
"2026-05-08T19:12:48-05:00","utr5","hani_rna_activity_delta_aux","utr5__hani_rna_activity__observed_head_branched_delta_aux","configs/utr5/hani_rna_activity/basset_branched/utr5__hani_rna_activity__basset_branched__delta_aux_bayes.yml","launch/utr5_hani_basset_branched_delta_aux_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__delta_aux__basset_branched","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__delta_aux__basset_branched/7oi63e6z","7oi63e6z","4","16","1 2 3 6",""
"2026-05-12T17:06:21-05:00","utr3","hani_rna_activity_cell_conditioned_delta_aux","utr3__hani_rna_activity__cell_conditioned_delta_aux_resnet1d","configs/utr3/hani_rna_activity/resnet1d/utr3__hani_rna_activity__resnet1d__cell_conditioned_delta_aux_bayes.yml","launch/utr3_hani_resnet1d_cell_conditioned_delta_aux_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__hani_rna_activity__cell_conditioned_delta_aux__resnet1d","minhangxu1998-baylor-college-of-medicine/utr3__hani_rna_activity__cell_conditioned_delta_aux__resnet1d/i8eydhhu","i8eydhhu","4","16","3 4 5 6 7",""
"2026-05-12T22:41:53-05:00","utr5","hani_rna_activity_cell_conditioned_delta_aux","utr5__hani_rna_activity__cell_conditioned_delta_aux_resnet1d","configs/utr5/hani_rna_activity/resnet1d/utr5__hani_rna_activity__resnet1d__cell_conditioned_delta_aux_bayes.yml","launch/utr5_hani_resnet1d_cell_conditioned_delta_aux_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity__cell_conditioned_delta_aux__resnet1d","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity__cell_conditioned_delta_aux__resnet1d/klsifhsq","klsifhsq","4","16","3 4 5 6 7",""
"2026-05-15T23:05:44-05:00","introns","seelig_2015_a5ss_sd1","introns__seelig_2015_a5ss_sd1__scratch_basset_branched","configs/introns/seelig_2015/basset_branched/introns__seelig_2015_a5ss_sd1__scratch__basset_branched.yml","launch/introns_seelig_a5ss_sd1_basset_branched_sweep.sh","minhangxu1998-baylor-college-of-medicine","introns__seelig_2015_a5ss_sd1__scratch__basset_branched","minhangxu1998-baylor-college-of-medicine/introns__seelig_2015_a5ss_sd1__scratch__basset_branched/zp03wzup","zp03wzup","1","8","0",""
"2026-05-17T13:41:55-05:00","introns","seelig_2015_a5ss_sd1","introns__seelig_2015_a5ss_sd1__scratch_basset_branched","configs/introns/seelig_2015/basset_branched/introns__seelig_2015_a5ss_sd1__scratch__basset_branched.yml","launch/introns_seelig_a5ss_sd1_basset_branched_sweep.sh","minhangxu1998-baylor-college-of-medicine","introns__seelig_2015_a5ss_sd1__scratch__basset_branched","minhangxu1998-baylor-college-of-medicine/introns__seelig_2015_a5ss_sd1__scratch__basset_branched/zp03wzup","zp03wzup","4","8","0 1 2 3",""
"2026-05-20T01:04:07-05:00","utr5","hani_rna_activity_lib1_lib2","utr5__hani_rna_activity__phase3_lib1_lib2_scratch_resnet1d","configs/utr5/hani_rna_activity/resnet1d/utr5__hani_rna_activity_lib1_lib2__resnet1d__phase3_scratch_bayes.yml","launch/utr5_hani_lib1_lib2_resnet1d_phase3_scratch_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr5__hani_rna_activity_lib1_lib2__phase3_scratch__resnet1d","minhangxu1998-baylor-college-of-medicine/utr5__hani_rna_activity_lib1_lib2__phase3_scratch__resnet1d/swwsl6az","swwsl6az","4","16","0 5 1 2","phase3_lib1_lib2_scratch_resnet1d_may2026"
"2026-06-08T13:33:19-05:00","utr3","bashor_in_house_threeprime_modal100_fastqs1_5","utr3__bashor_in_house__threeprime_modal100__scratch_resnet1d","configs/utr3/bashor_in_house/resnet1d/lib1_threeprime__scratch_resnet1d__bayes.yml","launch/lib1_threeprime_scratch_resnet1d_sweep.sh","minhangxu1998-baylor-college-of-medicine","utr3__bashor_in_house__threeprime_modal100__scratch__resnet1d","minhangxu1998-baylor-college-of-medicine/utr3__bashor_in_house__threeprime_modal100__scratch__resnet1d/s3kj45cw","s3kj45cw","4","8","0 1 2 3",""
