split_strategy,split_pool,split_val_fraction,split_test_fraction,val_is_fixed_across_seeds,test_is_fixed_across_seeds,setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0005,0.0001,random,conv3_plus,0.2735256573983601,0.010425734767794551,84,0.3580259687843777,0.014009628333941091,84,0.2930807419947969,0.04132920449904622,84,0.2327419853314487,0.032840227795601896,84,0.06848858316363075,0.03655270309059178,84,0.08758408991150037,0.023580612172547723,84,0.9218044834477561,0.11240841381832378,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B2_with_RC,,0.0005,0.0001,random,full,0.27400284579821993,0.010569399834866548,84,0.35861788086947943,0.014545705855750421,84,0.29286290686319677,0.04295381005384082,84,0.2380591350837696,0.030808893171978935,84,0.06543391114476434,0.038402381290972225,84,0.08759174737404882,0.024871596279303222,84,0.9245845292295728,0.11137266656215859,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0002,1e-05,random,branched_only,0.2727116899830954,0.01072246361922505,84,0.3572451156519708,0.01466840012362502,84,0.2905826488696736,0.0409346607101633,84,0.22864659165879747,0.03160224772121532,84,0.07267013152966911,0.037191806673238584,84,0.08609397409957868,0.023024114291364545,84,0.9170629772401991,0.10621625704802853,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0002,1e-05,random,conv3_plus,0.2735275878083138,0.010635382116706268,84,0.35811467965443927,0.01444430768732453,84,0.29302794999222914,0.037202482276360006,84,0.2277748096624825,0.03185250614125883,84,0.06817890866142545,0.03489571057382027,84,0.08723292767979596,0.021279926342388945,84,0.9214819364604496,0.10589618728877635,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0002,1e-05,random,full,0.2754203797805877,0.010887045583118994,84,0.36054278448933647,0.014712069166595305,84,0.2843793237624307,0.03957563832599828,84,0.2297025084825392,0.02947068732850321,84,0.05547084809920844,0.03692999316191507,84,0.082419185323572,0.022277535848907355,84,0.9340882925760179,0.10838574428036771,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0002,0.0001,random,branched_only,0.2727116899830954,0.01072246361922505,84,0.3572451156519708,0.01466840012362502,84,0.2905826488696736,0.0409346607101633,84,0.22864659165879747,0.03160224772121532,84,0.07267013152966911,0.037191806673238584,84,0.08609397409957868,0.023024114291364545,84,0.9170629772401991,0.10621625704802853,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0002,0.0001,random,conv3_plus,0.2743783429974601,0.010790756949285673,84,0.35860275548128856,0.014557665862988543,84,0.29118986051098117,0.03665339355961143,84,0.22988834267477812,0.028912988929042534,84,0.0655950380010198,0.03650425742342373,84,0.08611901241837096,0.020825207739561605,84,0.9241208824373427,0.10799300948911515,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0002,0.0001,random,full,0.275285610130855,0.010989062279542786,84,0.3597877554240681,0.015268534680012024,84,0.29120909344934187,0.03661243976236652,84,0.23696529707709293,0.02780944820492844,84,0.059309928060758785,0.042539724415899274,84,0.08612724886787672,0.020998666807535357,84,0.9303317602191653,0.11133158211000901,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0005,1e-05,random,branched_only,0.272617121892316,0.01056497769251068,84,0.3570846404348101,0.014522736284225774,84,0.29056594712983325,0.03898982752731085,84,0.2251853241368446,0.03306692463513935,84,0.07359021088728862,0.033936563783266246,84,0.08593067858384495,0.02215408476796559,84,0.9161899217537471,0.10561028428450767,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0005,1e-05,random,conv3_plus,0.2730977251416161,0.01050068575427944,84,0.3576426225758734,0.014366803190994447,84,0.2940329253155458,0.03811441898600035,84,0.22697391959607374,0.03375286669906906,84,0.0706537416329392,0.034014747274472526,84,0.0878907759502739,0.021737888039957232,84,0.9190347407545362,0.1052446483723467,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0005,1e-05,random,full,0.2741110236162231,0.01082667112514776,84,0.3589804740179153,0.014716601749273035,84,0.2900759433225232,0.04122215571964462,84,0.22977706719963292,0.03252180320929537,84,0.06365734365966255,0.0366459672790372,84,0.085823089658029,0.023534441215473434,84,0.9260690659284592,0.10797710377523044,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0005,0.0001,random,branched_only,0.272617121892316,0.01056497769251068,84,0.3570846404348101,0.014522736284225774,84,0.29056594712983325,0.03898982752731085,84,0.2251853241368446,0.03306692463513935,84,0.07359021088728862,0.033936563783266246,84,0.08593067858384495,0.02215408476796559,84,0.9161899217537471,0.10561028428450767,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0005,0.0001,random,conv3_plus,0.27361012534016654,0.010069959589226912,84,0.3579917596209617,0.014057908775002464,84,0.2928992773901119,0.03955212865952903,84,0.23267702442865779,0.029295082440032743,84,0.06876054238486917,0.03420396926231724,84,0.08733573411427466,0.02247421864249015,84,0.9211686757348833,0.10863047460642604,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_10,10.0,0.0005,0.0001,random,full,0.27466434240341187,0.010224580280442068,84,0.35906803146714256,0.014422089125021556,84,0.2927344952913602,0.04116989348138068,84,0.23786208090395164,0.030561429854056455,84,0.06307563990766563,0.038012724105878436,84,0.08736826676597861,0.023830938922193207,84,0.9266300591684523,0.10899215773924323,84,179761.0,0.0,84,3747661.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0002,1e-05,random,branched_only,0.27272862799110864,0.010734106458484995,84,0.35725920115198406,0.014683060927846072,84,0.2906286281885266,0.04114690599807588,84,0.22879832124640706,0.03179286925284311,84,0.07259439094476638,0.0373361389415281,84,0.08613791182604008,0.02317555161991653,84,0.9171325536001296,0.10621934352968841,84,179761.0,0.0,84,179761.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0002,1e-05,random,conv3_plus,0.27353853980700177,0.01065774377106043,84,0.35812230550107504,0.014498534323067623,84,0.29263215805387344,0.03737238005775042,84,0.22764458168071652,0.03161254188075902,84,0.06814556263339747,0.0350277925760748,84,0.08701364739950546,0.021393510029057063,84,0.9214991260142553,0.10581751206460924,84,179761.0,0.0,84,3063361.0,0.0,84
random_all_per_seed,all_rows,0.15,0.15,False,False,B3_with_RC_weighted_bcap_8,8.0,0.0002,1e-05,random,full,0.27544404353414265,0.010888162422458493,84,0.36058118087904795,0.014728677745756572,84,0.2844333455303073,0.03953365209021896,84,0.22977319361859663,0.02952522070831174,84,0.055271349516224214,0.03697295944535629,84,0.08244663162992047,0.02226006327677302,84,0.9342903033608482,0.10846609474709608,84,179761.0,0.0,84,3747661.0,0.0,84
