setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B2_with_RC,,0.0005,1e-05,hq_first,full,0.20438894398865246,0.005275973134665145,84,0.2707697745589983,0.005724848032203705,84,0.43141341386881366,0.040180781127360454,84,0.32356588335616543,0.023586786824560346,84,0.17735957066914979,0.035181577770782596,84,0.1877128086573301,0.03250880047219309,84,0.681824671015853,0.2054820727062208,84,179761.0,0.0,84,3747661.0,0.0,84
B2_with_RC,,0.0005,0.0001,hq_first,branched_only,0.20477196272640003,0.005562732724982127,84,0.27177784059728893,0.005810210474161413,84,0.4189902279476061,0.042945404085951926,84,0.32118714695458556,0.02322982639426639,84,0.17121466405805105,0.03591930032817413,84,0.17737516280326282,0.033416739855272555,84,0.6853727957322484,0.2022847880139988,84,179761.0,0.0,84,179761.0,0.0,84
B2_with_RC,,0.0005,0.0001,hq_first,conv3_plus,0.20454961646880424,0.005470415552480398,84,0.2711239279735656,0.005594247176045241,84,0.43037285164383665,0.03999442552527605,84,0.3269917613535774,0.026051445070656935,84,0.17522354962184336,0.03429370931785588,84,0.1868013031947507,0.03279716041915483,84,0.6839219697174572,0.20673067404458775,84,179761.0,0.0,84,3063361.0,0.0,84
B2_with_RC,,0.0005,0.0001,hq_first,full,0.2053754993137859,0.006303362343688178,84,0.27041140376102357,0.006973970106117199,84,0.4386984199802363,0.04792627181384545,84,0.3307020619819743,0.02666372660359527,84,0.17935895873069316,0.04254418098884847,84,0.19472588684777353,0.0405531516079442,84,0.6821065616040003,0.21222632101665345,84,179761.0,0.0,84,3747661.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0002,1e-05,hq_first,branched_only,0.20429465174674988,0.005167955623621673,84,0.271244139898391,0.0055102186910285225,84,0.41992632172390615,0.04012230843534671,84,0.31730416863275734,0.01926369428403265,84,0.17450265450503688,0.03402541383858414,84,0.17792875102939137,0.0312859490768578,84,0.6837349917207446,0.20484977365077023,84,179761.0,0.0,84,179761.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0002,1e-05,hq_first,conv3_plus,0.2035572017942156,0.005173633023492205,84,0.26998632081917356,0.005573971949955147,84,0.4329491244161118,0.03806136855852095,84,0.319207246243671,0.020491243678460145,84,0.18212998405132247,0.03424058826102251,84,0.1888763660642665,0.03063555735898912,84,0.6774805514585405,0.20328082218175164,84,179761.0,0.0,84,3063361.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0002,1e-05,hq_first,full,0.20667570243988717,0.006100267171600142,84,0.2727926515397571,0.0067444009562847,84,0.4215504087538536,0.04461724065135701,84,0.3154449893560563,0.02145497522754302,84,0.16488659714357756,0.04147788889644215,84,0.1796717464962233,0.036277616040763815,84,0.6938624690685954,0.2142148711671621,84,179761.0,0.0,84,3747661.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0002,0.0001,hq_first,branched_only,0.20429465174674988,0.005167955623621673,84,0.271244139898391,0.0055102186910285225,84,0.41992632172390615,0.04012230843534671,84,0.31730416863275734,0.01926369428403265,84,0.17450265450503688,0.03402541383858414,84,0.17792875102939137,0.0312859490768578,84,0.6837349917207446,0.20484977365077023,84,179761.0,0.0,84,179761.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0002,0.0001,hq_first,conv3_plus,0.2054361557321889,0.005703105084853964,84,0.27161604662736255,0.0057578179069260145,84,0.4250769410133668,0.03983704167406949,84,0.32033580019986374,0.020987985962094485,84,0.17220740167873355,0.03529951973227228,84,0.18225850293384496,0.03267089250108662,84,0.6865414703885714,0.20758134375148626,84,179761.0,0.0,84,3063361.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0002,0.0001,hq_first,full,0.2067596506149996,0.006426307782258971,84,0.2717168249544643,0.006945040085716762,84,0.42907307008680207,0.044819506895239225,84,0.324365211830717,0.02278851971956258,84,0.17142615435395686,0.04260370570624264,84,0.18608857352682795,0.03756392965830609,84,0.6886763973605066,0.21377475522222927,84,179761.0,0.0,84,3747661.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0005,1e-05,hq_first,branched_only,0.2039179438281627,0.005645827840218113,84,0.2706240138837269,0.006136727687878104,84,0.4244630863782418,0.044744678018383055,84,0.3213458442714314,0.022937578607650975,84,0.17819048009256933,0.0377970123061048,84,0.1821471635490572,0.035168433277981616,84,0.6805300985773405,0.20442355710481547,84,179761.0,0.0,84,179761.0,0.0,84
B3_with_RC_weighted_bcap_10,10.0,0.0005,1e-05,hq_first,conv3_plus,0.20308652041213854,0.004860646694977452,84,0.2695165067201569,0.0053111066544058744,84,0.4350182311607422,0.03797817538633446,84,0.32216255622235385,0.021620560189405107,84,0.18500443640781375,0.0325775962299822,84,0.19066603251211425,0.030565180660623203,84,0.6744121437271436,0.20002164278895423,84,179761.0,0.0,84,3063361.0,0.0,84
