setting,b_cap,head_lr,backbone_lr,train_sampling_mode,unfreeze_scope,train_threshold,train_size,init_head,train_mae_mean,train_mae_std,train_mae_count,train_rmse_mean,train_rmse_std,train_rmse_count,train_pearson_mean,train_pearson_std,train_pearson_count,train_spearman_mean,train_spearman_std,train_spearman_count,train_r2_mean,train_r2_std,train_r2_count,train_pearson_sq_mean,train_pearson_sq_std,train_pearson_sq_count,train_loss_standardized_mean,train_loss_standardized_std,train_loss_standardized_count,val_mae_mean,val_mae_std,val_mae_count,val_rmse_mean,val_rmse_std,val_rmse_count,val_pearson_mean,val_pearson_std,val_pearson_count,val_spearman_mean,val_spearman_std,val_spearman_count,val_r2_mean,val_r2_std,val_r2_count,val_pearson_sq_mean,val_pearson_sq_std,val_pearson_sq_count,val_loss_standardized_mean,val_loss_standardized_std,val_loss_standardized_count,test_mae_mean,test_mae_std,test_mae_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_r2_mean,test_r2_std,test_r2_count,test_pearson_sq_mean,test_pearson_sq_std,test_pearson_sq_count,test_loss_standardized_mean,test_loss_standardized_std,test_loss_standardized_count,best_epoch_mean,best_epoch_std,best_epoch_count,best_val_loss_standardized_mean,best_val_loss_standardized_std,best_val_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,1608,SKNSH,0.2608080133795738,0.004932547515637706,4,0.3414700925350189,0.007247024965779745,4,0.3901022592664074,0.015790129520059936,4,0.29080369185885635,0.011384893825948681,4,0.1509247273390828,0.01277338289795076,4,0.15236676882745057,0.012258501870399181,4,0.8485471904277802,0.012765380455641311,4,0.24383579567074776,0.0013779508711992147,4,0.325286403298378,0.0010242837815103102,4,0.39688777477103415,0.007558388742278414,4,0.332447956485792,0.00991588966379762,4,0.15184620743986682,0.0053350907809117856,4,0.15756275269298767,0.006001234485830601,4,0.7705407589673996,0.025977022754461926,4,0.202177956700325,0.0014732311951175345,4,0.26855745911598206,0.0011195744574509338,4,0.444040548801665,0.008533313992012416,4,0.3244570962327003,0.005232098861392889,4,0.19109407166138306,0.006738560741587087,4,0.19722662206584857,0.007557891144762485,4,0.5252380818128586,0.01860888855279607,4,20.75,6.701989754294367,4,0.7705407589673996,0.025977022754461926,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,2411,HepG2,0.2711329683661461,0.0018065024744234068,4,0.3534513786435127,0.002845137316266028,4,0.37768736803454833,0.005811806893628068,4,0.27819224423045014,0.008100591199694814,4,0.14086387652564442,0.0037005868792589123,4,0.142673080797391,0.004366493009846566,4,0.858779713511467,0.0036990111100654952,4,0.24365784227848053,0.0005148872292703087,4,0.3248753994703293,0.000642478497138501,4,0.4008833873875748,0.004408936105229909,4,0.3305405815411275,0.00853713933221218,4,0.1539919459097883,0.003346320520853685,4,0.1607220693215214,0.0035340938783044525,4,0.7256245762109756,0.01120323386566708,4,0.2035343013703823,0.0014088157091345387,4,0.27083080261945724,0.0013056506314540145,4,0.4299564566022752,0.0056767294671726445,4,0.32983753194515025,0.009502316152392528,4,0.1773377474832893,0.00794711076313924,4,0.18488672351706675,0.004883735781595154,4,0.5042438060045242,0.004242308725097342,4,9.0,0.816496580927726,4,0.7256245762109756,0.01120323386566708,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,2411,K562,0.27147524803876877,0.0015842257347551069,4,0.35405731201171875,0.0027998427788628317,4,0.37272965417682463,0.0073712733758883545,4,0.26986943298282745,0.010115336970941032,4,0.13790904488447236,0.005089728903614034,4,0.13896814685616185,0.005495235923841375,4,0.8617333620786667,0.005087600766789479,4,0.24315635114908218,0.0009648774378612281,4,0.32339267432689667,0.0008055866716463499,4,0.41158311845937523,0.005362616292154063,4,0.3358946792297587,0.002842256292747372,4,0.16169523091167473,0.0041716471059483964,4,0.16942223164086676,0.004415510967967139,4,0.7189885973930359,0.00854585893882629,4,0.20170599594712257,0.0011335692368762173,4,0.26898178458213806,0.001707965005731926,4,0.44244819885112385,0.0066264438666496445,4,0.33017735712311536,0.012917664726990576,4,0.1885219651609976,0.010326055162023806,4,0.195793340985342,0.005861364070212237,4,0.4974355101585388,0.009837058918642186,4,9.75,1.7078251276599332,4,0.7189885973930359,0.00854585893882629,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,2411,SKNSH,0.2721576541662216,0.0024770361551124,4,0.35420840978622437,0.0037605907096898857,4,0.3731425557021961,0.0107936200862999,4,0.27795779270037424,0.011586763399716064,4,0.13719105240981627,0.007703902783865446,4,0.13932274355189206,0.008006185378623248,4,0.8624510020017624,0.007700665481504143,4,0.24409710988402367,0.00029041892665905003,4,0.3251258507370949,0.000349289612241468,4,0.398486335302988,0.0024899283611221155,4,0.33825909422422107,0.004022149727854288,4,0.1526888235155849,0.0018206105967987962,4,0.15879600923063802,0.0019835632699531924,4,0.7267302423715591,0.00987519695708537,4,0.20107198506593704,0.0006499105402316448,4,0.26767798513174057,0.0005590834460996916,4,0.4485824761119397,0.005110618626926697,4,0.3272910982431719,0.005233393844189784,4,0.19639130245737102,0.003355741054626348,4,0.20124582669178137,0.0045843153232182415,4,0.49258872866630554,0.005460548684544795,4,11.75,1.2583057392117913,4,0.7267302423715591,0.00987519695708537,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,3215,HepG2,0.2784939929842949,0.0003231938528121501,4,0.36186811327934265,0.0004875208478477362,4,0.36320751612645097,0.0031089828257785395,4,0.2760005311998695,0.0013922573965264543,4,0.13045704649431034,0.0023430435044565438,4,0.13192694910140434,0.002258297094362704,4,0.869272455573082,0.0023422590026438207,4,0.24354157596826553,0.00022683261339524624,4,0.3247388079762459,0.00013704809008985462,4,0.4035744537436998,0.0013589383108615443,4,0.3383708139732359,0.0018994507860012689,4,0.1547055581827939,0.0007134823869956005,4,0.16287372474952524,0.001098287340858419,4,0.7000404298305511,0.0005909052483421524,4,0.2028924524784088,0.0003403636984032392,4,0.26982681453227997,0.00044042320159537327,4,0.4364569366561084,0.0042407391961221666,4,0.34167184656378713,0.0020882906519062096,4,0.18343833912422536,0.002665985616508489,4,0.1905081454569314,0.0037042841685684166,4,0.4833100140094757,0.0015779591270447238,4,7.5,0.5773502691896257,4,0.7000404298305511,0.0005909052483421524,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,3215,K562,0.2793353796005249,0.000508470293461743,4,0.3630528151988983,0.0006602278891603867,4,0.3547225090282301,0.004934359821508371,4,0.2660768490286829,0.003838770944009576,4,0.12475329400408622,0.003185436849405639,4,0.12584631934141888,0.003478874348045247,4,0.8749744743108749,0.003184399149860323,4,0.24337174743413925,0.0005130082427080573,4,0.32364968955516815,0.0001661808219454744,4,0.41204090878732136,0.0036897884606578845,4,0.3386860140075792,0.003484342883950733,4,0.1603659509511643,0.0008624215386202186,4,0.16978792141844495,0.003032927303915255,4,0.6953527331352234,0.0007142161175092678,4,0.20171426981687546,0.0010598933722063596,4,0.26932960748672485,0.0011987150403857548,4,0.4400247145425802,0.006501371155117355,4,0.3373996919580554,0.008000836904648215,4,0.18643448469236734,0.007251630756822679,4,0.19365345027845166,0.0056851250623590685,4,0.4815366491675377,0.004292120227922615,4,7.0,0.8164965809277259,4,0.6953527331352234,0.0007142161175092678,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,branched_only,1,3215,SKNSH,0.28022250533103943,0.0003610947137805778,4,0.36358542740345,0.0004492968190936645,4,0.3512901943622642,0.0036634015829326303,4,0.27065920297003354,0.0018025792479149795,4,0.12218453242910607,0.0021700453320734133,4,0.12341486603844574,0.0025714754694740657,4,0.8775424510240555,0.0021693332521988762,4,0.24425695464015007,0.0004245607843030396,4,0.32489100098609924,0.000378332298624622,4,0.403497929693177,0.0027800586674731984,4,0.33525620031709935,0.005285093819607742,4,0.15391231535571898,0.001970777774716734,4,0.16281637581132596,0.0022454064798953606,4,0.7006973922252655,0.001632152136960774,4,0.20182161778211594,0.0006088306810510532,4,0.2688414007425308,0.0004607283578729088,4,0.4429145662754084,0.0032765389509448635,4,0.3229594807115628,0.004049498745880814,4,0.18939152222883102,0.0027764095818491935,4,0.1961813647995559,0.0029010290174230264,4,0.4797864034771919,0.0016433074737590581,4,8.5,0.5773502691896257,4,0.7006973922252655,0.001632152136960774,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,1,161,HepG2,0.17027610912919044,0.019833835962560647,4,0.23597069829702377,0.02029785860534298,4,0.5532832703112154,0.1435042977533237,4,0.4531965116162301,0.13687397861336087,4,0.2832072199431954,0.1509161668948594,4,0.3215674898115294,0.16109696159758194,4,0.7123406827449799,0.14997879334786263,4,0.24994681030511856,0.0004950783780008569,4,0.3302827924489975,0.0007955440093781349,4,0.35656370811761096,0.006867533542532445,4,0.31168690185530235,0.00711864245116488,4,0.12559354393913377,0.0042124226048568855,4,0.1271730502092992,0.004886712664474043,4,1.3812589645385742,0.08409635035968613,4,0.21776631101965904,0.0017981867135056914,4,0.2839910015463829,0.002141508507569029,4,0.3348208162374077,0.015041151624740966,4,0.28567462663385196,0.006590512136227767,4,0.0954229004927229,0.013620179675747416,4,0.1122746561675328,0.010209447543420711,4,1.0212741196155548,0.06462326911923079,4,8.25,3.593976442141304,4,1.3812589645385742,0.08409635035968613,4,179761.0,0.0,4,3063361.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,1,161,K562,0.16103771701455116,0.018941116058446086,4,0.22492894530296326,0.024659496504827613,4,0.5977868200751191,0.15082473042423108,4,0.5221732642260861,0.15052647464263033,4,0.34594529437085486,0.1674862203093703,4,0.37441015673617933,0.17287675646453643,4,0.6499922201037407,0.1664458852160409,4,0.24912206083536148,0.0008581942477499462,4,0.32787250727415085,0.0014119379252323326,4,0.3744090740088788,0.012387964187286013,4,0.2916987612563957,0.008195365035229999,4,0.1383009170411975,0.007410575023783685,4,0.14029725094271517,0.009412138372539099,4,1.3613170981407166,0.08642855691055333,4,0.2135707587003708,0.001629330188293985,4,0.27984896302223206,0.0018537582637715682,4,0.3713413091861675,0.020286398438598963,4,0.30607755687056537,0.01948115622358979,4,0.12162576947883089,0.01162881226748546,4,0.13820302137930404,0.015070784432191843,4,0.9923527836799622,0.07472989264111667,4,10.25,4.031128874149275,4,1.3613170981407166,0.08642855691055333,4,179761.0,0.0,4,3063361.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,1,161,SKNSH,0.1702250987291336,0.017688494319022773,4,0.23317086324095726,0.017251449149754138,4,0.5714258260639015,0.1185282805951423,4,0.4900796959350242,0.13254844220582174,4,0.3024862004796447,0.12356911958606809,4,0.33706418966844276,0.139424143075272,4,0.6931814402341843,0.12280159197745776,4,0.2513929158449173,0.0008866023413026928,4,0.33378829061985016,0.0005264170267013445,4,0.333452125674188,0.0030142672728681393,4,0.31143909656514424,0.004098928048829787,4,0.10693604038040996,0.0028159861189904693,4,0.1111971344720287,0.0020151664279101106,4,1.4109694063663483,0.0904728032872961,4,0.21326395869255066,0.0012248295152048339,4,0.27974386513233185,0.0014569165355561241,4,0.3589889607492365,0.008949591411763038,4,0.29306943268984065,0.0008539530448161009,4,0.12229638947683522,0.009126110305264293,4,0.12893314532964498,0.006447779985911808,4,0.9913834184408188,0.07020923648157328,4,8.75,2.753785273643051,4,1.4109694063663483,0.0904728032872961,4,179761.0,0.0,4,3063361.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,1,322,HepG2,0.1617753840982914,0.004174118000819193,4,0.22681691497564316,0.003584765425668053,4,0.6347801686256319,0.015165364933902513,4,0.5195565034550703,0.04476469952266337,4,0.3734206084529894,0.008849086074173482,4,0.40311835370056953,0.019265533873751132,4,0.6246334463357925,0.008821652710147907,4,0.24753276631236076,0.0013842075803413062,4,0.32802555710077286,0.0005167476998179813,4,0.3726523621309017,0.004685383824407942,4,0.32079747890059784,0.009259137065027696,4,0.13750661018675664,0.002717788615070003,4,0.13888624761792723,0.0034842424478598965,4,1.3068869709968567,0.0322694966056977,4,0.2141408734023571,0.0009796057047407828,4,0.27980030328035355,0.0006903029168700227,4,0.3670235657364713,0.004056016040773279,4,0.2945591758650699,0.007958354598482594,4,0.12195608863102866,0.004334779363860543,4,0.13471863625550612,0.002960976127376455,4,0.9508085250854492,0.020431468082888447,4,9.75,1.2583057392117916,4,1.3068869709968567,0.0322694966056977,4,179761.0,0.0,4,3063361.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,1,322,K562,0.1563386246562004,0.008931226114690471,4,0.2184971682727337,0.010560464634881273,4,0.6586996038906281,0.04339915322575553,4,0.5480472518515473,0.020109894392989942,4,0.4164470587805341,0.06728992591568841,4,0.43529778304120487,0.05816936548052442,4,0.5817406699061394,0.06708096576984014,4,0.24627114087343216,0.0013344773032859137,4,0.323844239115715,0.001365000415916808,4,0.4032307579986443,0.007349263522711563,4,0.3069753871314221,0.013270704130197597,4,0.15934517859443112,0.007078092702915458,4,0.1626355529519059,0.005944383226262325,4,1.2736134827136993,0.021741544722511896,4,0.20885131508111954,0.002457844073667824,4,0.2758791819214821,0.0019566293689244644,4,0.40448441303984506,0.00510235529122304,4,0.31053940183879514,0.01670105960368327,4,0.1463651619173548,0.012108276563608677,4,0.16362716591432636,0.004137510426948566,4,0.9241990000009537,0.010409103607178628,4,12.0,1.414213562373095,4,1.2736134827136993,0.021741544722511896,4,179761.0,0.0,4,3063361.0,0.0,4
B2_with_RC,,0.0002,0.0001,hq_first,conv3_plus,1,322,SKNSH,0.1591639518737793,0.008089934341361989,4,0.22223716601729393,0.006894761427329254,4,0.6529275787777418,0.02689085649452677,4,0.5697977501380498,0.057473929409928355,4,0.3981207396083053,0.033849711441500945,4,0.42685676175082116,0.0350807162257329,4,0.6000100374221802,0.033744535482706596,4,0.24802810326218605,0.0007918563038611327,4,0.32980044931173325,0.0011773238657119124,4,0.36193273000103204,0.0107547633351899,4,0.3264166453023208,0.0068933527753017,4,0.12814108063789717,0.006223319423910095,4,0.13108204974679694,0.007795144675112786,4,1.3211925625801086,0.03918662482508466,4,0.20787620544433594,0.002060648176110934,4,0.2734352797269821,0.0022869004459545087,4,0.40757854792284726,0.016492908591602306,4,0.3069956376631937,0.013606960843757981,4,0.16140980395326635,0.013980961788312195,4,0.16632428475225491,0.013667748531523033,4,0.9083122313022614,0.03349065884664187,4,11.75,2.217355782608345,4,1.3211925625801086,0.03918662482508466,4,179761.0,0.0,4,3063361.0,0.0,4
