setting,train_sampling_mode,unfreeze_scope,train_threshold,train_size,init_head,val_spearman_mean,val_spearman_std,val_spearman_count,val_pearson_mean,val_pearson_std,val_pearson_count,val_rmse_mean,val_rmse_std,val_rmse_count,val_r2_mean,val_r2_std,val_r2_count,test_spearman_mean,test_spearman_std,test_spearman_count,test_pearson_mean,test_pearson_std,test_pearson_count,test_rmse_mean,test_rmse_std,test_rmse_count,test_r2_mean,test_r2_std,test_r2_count,best_epoch_mean,best_epoch_std,best_epoch_count,best_val_loss_standardized_mean,best_val_loss_standardized_std,best_val_loss_standardized_count,initial_trainable_params_mean,initial_trainable_params_std,initial_trainable_params_count,final_trainable_params_mean,final_trainable_params_std,final_trainable_params_count
B2_with_RC,hq_first,branched_only,2,1616,HepG2,0.3463060785220514,0.01664040951718221,4,0.4024611610875942,0.007776804009787255,4,0.3234926164150238,0.0012485572403467475,4,0.16202034519442943,0.006282441916257758,4,0.34517398997679327,0.022825086582461438,4,0.4378755928350436,0.022750145396366387,4,0.2686874121427536,0.00315156626664226,4,0.19212321163730775,0.019944215370023898,4,18.5,9.848857801796104,4,0.828949585556984,0.039966619108030246,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,1616,K562,0.3373204928061641,0.0020592216693436677,4,0.41528945927871713,0.0046620381342261895,4,0.3219025060534477,0.0007940035854696114,4,0.17248163593768298,0.0038864019114999673,4,0.3333644558974497,0.014043761809148084,4,0.4346925035310121,0.005005967089950313,4,0.2690294608473778,0.0008076453323899917,4,0.18897636740593818,0.004366205127310107,4,10.75,1.7078251276599332,4,0.8208136558532715,0.03916113186849827,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,1616,SKNSH,0.34318876055081793,0.005090657022007991,4,0.4003215138411137,0.006570071114190791,4,0.32373063266277313,0.001006597663457055,4,0.1602896888198751,0.005256574530986397,4,0.32691560567810685,0.005074533194370197,4,0.4483650204828966,0.004367466780186173,4,0.26709096133708954,0.0006392876766542241,4,0.20104549766718535,0.003908671809867567,4,17.5,1.2909944487358056,4,0.8301137536764145,0.03836536799904151,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,2155,HepG2,0.36024041804113627,0.00664220561611105,4,0.4070605275960879,0.002344409452471773,4,0.322679802775383,0.00036241553157787286,4,0.1657023953185661,0.001908152945184094,4,0.34772809631436874,0.0027273555618317594,4,0.44430630440112723,0.002443914742080108,4,0.26780176162719727,0.00028085574216452254,4,0.19741257167003706,0.0021721103918999614,4,16.25,3.2015621187164247,4,0.7866489589214325,0.0017668099991296766,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,2155,K562,0.34205191490063447,0.0019558522233470658,4,0.41117360783433576,0.0020157265148243305,4,0.322495736181736,0.00020757036972129074,4,0.16906678314454107,0.0016556382802694002,4,0.32624471664255433,0.007813007207656887,4,0.4309551689488651,0.008407224759528924,4,0.2695792391896248,0.0011067249479647348,4,0.1857753687148628,0.007268778959976994,4,8.25,2.6299556396765835,4,0.785751223564148,0.0010113599922460502,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,2,2155,SKNSH,0.3435302534186675,0.0014105628202261745,4,0.40522682731246407,0.001939285391835594,4,0.3230476826429367,0.0002532062574349012,4,0.16421160219459882,0.0015730729005326073,4,0.3374463586224535,0.0006654082946159716,4,0.446896790765026,0.001627515722738591,4,0.26725299656391144,0.00020599366599739237,4,0.19971872820165026,0.0014559284791891,4,16.0,2.943920288775949,4,0.7884432971477509,0.0012356956214971545,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,3,60,HepG2,0.31192076161762516,0.0038084701732903283,4,0.3553602684309237,0.005447283180138197,4,0.33083002269268036,0.000734453105090287,4,0.1263031750498316,0.003867409703544569,4,0.28120440867038354,0.009137298917368187,4,0.32069518247807616,0.01895352280539915,4,0.2865428477525711,0.002317767213775158,4,0.10311482708469764,0.012149384550383585,4,21.75,2.8722813232690143,4,1.530923068523407,0.34332193177246056,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,3,60,K562,0.29460979946831145,0.009271642944868878,4,0.36702103124642543,0.001573438575123373,4,0.3294217810034752,0.0004368583823149921,4,0.13470629415890187,0.0011558645847919002,4,0.2941767806381755,0.003890635367883701,4,0.3528390273423848,0.007039703912348499,4,0.2829763740301132,0.0014166433263874173,4,0.12453254728930031,0.005004332525516463,4,27.0,4.0,4,1.5185397565364838,0.34386451934004664,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,3,60,SKNSH,0.30468904635599275,0.004948410469630525,4,0.3289639648736777,0.0036070423207603636,4,0.3345974087715149,0.0007129620790412965,4,0.10822704825113806,0.002385941771347925,4,0.2861616240722483,0.0034800657181526993,4,0.34115517902522413,0.005208944536550838,4,0.2824038788676262,0.0015318645587736623,4,0.11640720600312138,0.003553558977944518,4,26.25,3.095695936834451,4,1.565977692604065,0.3509657464193382,4,179761.0,0.0,4,179761.0,0.0,4
B2_with_RC,hq_first,branched_only,3,121,HepG2,0.30411473945131257,0.01176562275040649,4,0.3528151057729084,0.005878396895580762,4,0.3307478353381157,0.0007373605787646094,4,0.12450441552409505,0.004142593852893789,4,0.2767691775745135,0.009245559719415545,4,0.3139380068408856,0.014242168815822112,4,0.2861008122563362,0.0020746696236583688,4,0.09870920166866169,0.008794179740487972,4,16.0,8.831760866327848,4,1.4423800706863403,0.15612061628739926,4,179761.0,0.0,4,179761.0,0.0,4
